year_key,league_key,team_key,park_key,games,openings,attendance
1896,NL,SLN,STL05,62,0,0
1896,NL,WAS,WAS06,68,0,0
1897,NL,BLN,BAL07,69,1,25000
1897,NL,BRO,NYC11,70,0,0
1897,NL,BSN,BOS05,67,1,14500
1897,NL,CHN,CHI08,67,0,0
1897,NL,CIN,CIN05,68,2,29000
1897,NL,CL4,CLE05,65,0,0
1897,NL,LS3,LOU03,68,1,10000
1897,NL,NY1,NYC10,76,2,30000
1897,NL,PHI,PHI09,67,0,0
1897,NL,PIT,PIT05,65,0,0
1897,NL,SLN,STL05,61,1,10000
1897,NL,WAS,WAS06,68,0,0
1898,NL,BLN,BAL07,76,0,0
1898,NL,BRO,NYC12,72,0,0
1898,NL,BRO,WNY01,2,1,2000
1898,NL,BSN,BOS05,79,0,0
1898,NL,CHN,CHI08,89,0,0
1898,NL,CIN,CIN05,89,0,0
1898,NL,CL4,CHI08,1,0,0
1898,NL,CL4,CLE05,40,0,0
1898,NL,CL4,CLL01,2,0,0
1898,NL,CL4,PHI09,9,0,0
1898,NL,CL4,ROC02,2,0,0
1898,NL,CL4,ROC03,1,0,0
1898,NL,CL4,STL05,2,0,0
1898,NL,LS3,LOU03,79,1,5000
1898,NL,NY1,NYC10,75,0,0
1898,NL,NY1,WNY01,1,0,0
1898,NL,PHI,PHI09,81,0,0
1898,NL,PIT,PIT05,75,0,0
1898,NL,SLN,STL05,66,0,0
1898,NL,WAS,WAS06,80,0,0
1899,NL,BLN,BAL07,77,0,0
1899,NL,BRO,NYC12,78,0,0
1899,NL,BSN,BOS05,80,1,15000
1899,NL,CHN,CHI08,85,0,0
1899,NL,CIN,CIN05,88,0,0
1899,NL,CL4,CLE05,41,0,0
1899,NL,CL4,STL05,1,0,0
1899,NL,LS3,LOU03,51,0,0
1899,NL,LS3,LOU04,12,0,0
1899,NL,NY1,NYC10,72,0,0
1899,NL,NY1,WNY01,4,0,0
1899,NL,PHI,PHI09,83,1,12000
1899,NL,PIT,PIT05,85,1,6000
1899,NL,SLN,STL05,87,1,15000
1899,NL,WAS,WAS06,79,0,0
1900,NL,BRO,NYC12,73,4,37700
1900,NL,BSN,BOS05,73,11,43800
1900,NL,CHN,CHI08,77,5,23250
1900,NL,CIN,CIN05,63,3,18500
1900,NL,NY1,NYC10,71,6,50800
1900,NL,PHI,PHI09,70,5,51779
1900,NL,PIT,PIT05,70,2,15100
1900,NL,SLN,STL05,72,5,48000
1901,AL,BLA,BAL09,66,0,0
1901,AL,BOS,BOS06,69,0,0
1901,NL,BRO,NYC12,68,3,20800
1901,NL,BSN,BOS05,70,1,2500
1901,AL,CHA,CHI09,71,3,16700
1901,NL,CHN,CHI08,70,0,0
1901,NL,CIN,CIN05,72,0,0
1901,AL,CLE,CLE05,69,3,12655
1901,AL,DET,DET02,57,2,15948
1901,AL,DET,DET03,13,0,0
1901,AL,MLA,MIL04,70,2,6000
1901,NL,NY1,NYC10,71,2,31000
1901,AL,PHA,PHI10,66,0,0
1901,NL,PHI,PHI09,69,1,20000
1901,NL,PIT,PIT05,69,0,0
1901,NL,SLN,STL05,72,0,0
1901,AL,WS1,WAS07,68,1,8000
1902,AL,BLA,BAL09,64,0,0
1902,AL,BOS,BOS06,71,0,0
1902,NL,BRO,NYC12,69,0,0
1902,NL,BSN,BOS05,72,0,0
1902,AL,CHA,CHI09,72,0,0
1902,NL,CHN,CHI08,72,0,0
1902,NL,CIN,CIN06,70,0,0
